ID,reasoning,type,confidence
1,"The file specifies pre-commit workflow commands (run cargo test, clippy with fixes, and fmt), which maps to development_process. It includes an explicit testing command (cargo test), fitting test. It also provides coding/style guidance (use clippy, fmt, Rust 2024 edition, allow let chains), which is implementation_details. It does not describe how to build/run the application, architecture, config, deployment, AI usage, or other categories.","['implementation_details', 'test', 'development_process']",8
2,"- AI Integration: The file explicitly targets AI agents (OpenAI Codex) and gives them interaction rules and safe/unsafe directories.
- Architecture: It outlines the project structure via a directory table describing components and their roles, which is high-level structure.
- Documentation References: It instructs updating CHANGELOG.md for every change and references documentation-related assets (screenshots), which are documentation guidelines/references.
- Development Process: It sets a contribution/process rule to add a one-liner to CHANGELOG.md for each change, which is part of the development workflow.
- Not present: No system overview of features, no implementation/code style details, no build/run commands, no testing procedures or commands, no environment/config setup, no CI/CD or deployment operations, no project management/backlog planning, no performance or security guidance, no UI/UX standards, and no debugging tips.","['ai_integration', 'architecture', 'documentation_references', 'development_process']",8
3,"- system_overview: No — The file focuses on contributor/development guidelines, not the project's purpose or features.
- ai_integration: No — There are no instructions directed at or about AI agents.
- documentation_references: Yes — It mandates TSDoc comments, documentation style, and keeping the public API index in sync.
- architecture: Yes — It describes the monorepo structure (npm workspaces/Turborepo) with apps/ and packages/.
- implementation_details: Yes — Provides concrete code style rules (Biome settings, TypeScript ESM, export patterns, import guidance).
- build_run: Yes — Lists install/build/dev/test scripts and how to run them.
- test: Yes — Provides test commands and detailed testing practices (Vitest/Playwright, behavior/a11y-focused tests).
- config_environment: Yes — Recommends Node 16, requires Playwright browser install, and configures Git hooks.
- deployment_operations: No — No CI/CD or deployment procedures are covered.
- project_management: No — No planning/backlog/roadmap; PR prep/checks are development workflow, not project management.
- development_process: Yes — Includes commit message conventions, PR preflight checks, TDD for bug fixes, and Definition of Done.
- performance: No — No performance optimization guidance.
- security: No — No security practices or models discussed.
- ui_ux: No — While tests use a11y queries, there are no UI/UX design or UX standards instructions.
- maintainability: Yes — Emphasis on tests, documentation of public API, avoiding exporting internals, and DoD enhances maintainability.
- debugging: No — No debugging tips, flags, or error-handling instructions provided.","['documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process', 'maintainability']",9
5,"- System Overview: Yes – Describes what the system is, its mechanisms (how functions are invoked), notable derivatives, submodules, and major subdirectories with purposes.
- AI Integration: Yes – Provides explicit instructions aimed at AI agents/tools (e.g., Codex) about not sandboxing, running with root privileges, how to proceed/stop when sandboxing is detected, and includes AI-focused modules.
- Documentation References: Yes – Points to specific documentation files/paths for multithreading and pseudocode summaries.
- Architecture: Yes – High-level project structure with directories (_bin, build, structure, os, ai, etc.) and their roles.
- Implementation Details: Yes – Details on compile pipeline (compile.sh), anchor scripts, function-calling conventions, code snippet of functions, and behavior details.
- Build and Run: Yes – Explains how the script is compiled and how to run functions via './ubiquitous_bash.sh _function'.
- Testing: Yes – Extensive ""Testing Expectations"" section, behavior of _test, PASS/STDOUT/STDERR handling, long-running tests, and guidance.
- Configuration and Environments: Yes – Environment variables to set (ubDEBUG, ub_setScriptChecksum_disable), and environment/privilege expectations (root, no sandboxing).
- Deployment and Operations: No – No CI/CD or release/operations procedures.
- Project Management: No – No backlog/planning/organization guidance.
- Development Process: No – Aside from a brief PR mention, no git/PR workflow rules.
- Performance: No – Mentions CPU usage and timing tangentially, but no optimization guidance.
- Security: Yes – Discusses privilege model (root), sandboxing stance, and operational security posture.
- UI/UX: No – No UI/UX standards or guidance.
- Maintainability: No – While style and robustness are discussed, there are no explicit maintainability guidelines akin to stable interfaces or code organization policies.
- Debugging: Yes – Guidance on tracing/debugging via echo statements and 'export ubDEBUG=true'.","['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'security', 'debugging']",8
6,"- System Overview: No — the file does not describe the project's purpose or features.
- AI Integration: No — there are no instructions directed at an AI agent.
- Documentation References: Yes — it defines documentation requirements (Markdown only, Google-style docstrings with specific tweaks).
- Architecture: No — no high-level structure or component layout is described.
- Implementation Details: Yes — detailed code style rules, import policies, use of logging, and module headers are specified.
- Build and Run: No — no commands for building or running the application itself, only tooling checks.
- Testing: Yes — includes how to run tests (`uv run pytest`) and guidance about handling binary test assets.
- Configuration and Environments: Yes — specifies the tooling environment (use `uv` and `uv run` for executing tools).
- Deployment and Operations: No — no CI/CD or release/ops procedures.
- Project Management: No — no planning/backlog or management guidance.
- Development Process: Yes — prescribes workflow steps (run ruff/pyright on changed files only, avoid `noqa`, do not commit binaries).
- Performance: No — no performance guidance.
- Security: No — no security practices discussed.
- UI/UX: No — no UI/UX guidance.
- Maintainability: No — while style aids maintainability, there are no explicit maintenance strategies beyond code style.
- Debugging: No — no debugging tips or commands.
","['documentation_references', 'implementation_details', 'test', 'config_environment', 'development_process']",7
7,"- system_overview: Yes – Provides a comprehensive project structure and an overview of components and their roles.
- ai_integration: Yes – Includes Claude Desktop (.dxt) integration, a ChatGPT GPT package with instructions, and an llms.txt file for AI crawlers.
- documentation_references: Yes – Explicitly references README.md, API.md, SPEC.md, TESTING.md, and others.
- architecture: Yes – Presents a detailed project tree and explains system components and interactions; mentions SPEC.md with architecture docs.
- implementation_details: Yes – Details on Pydantic models, FastMCP tool registration, async tool patterns, argument annotations, decorators, caching, and web3 pooling.
- build_run: Yes – Notes Dockerfile with default CMD and that README includes setup and Docker run instructions.
- test: Yes – Extensive description of unit and integration test layout, pytest usage, markers, and isolation strategy.
- config_environment: Yes – Lists environment variables in .env.example and explains config.py BaseSettings; mentions dependencies in pyproject.toml.
- deployment_operations: No – Does not describe CI/CD pipelines or deployment/release procedures beyond Docker image basics.
- project_management: No – No backlog, planning, or management workflows described.
- development_process: No – No commit/PR/Git workflow guidance.
- performance: No – Mentions caching/pools as features but provides no performance guidelines or optimization procedures.
- security: No – No security model, permissions, or hardening guidance.
- ui_ux: No – References a basic index.html but no UI/UX standards or guidelines.
- maintainability: No – While structure promotes consistency, there are no explicit maintenance guidelines or policies.
- debugging: No – No debugging tips or error-handling procedures provided beyond test coverage notes.","['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment']",8
8,"- System Overview: Present via the opening sentence describing the project as a Python library wrapping a Snakemake metagenomics pipeline.
- Architecture: Present through the “Project Structure” section outlining directories and their roles.
- Development Process: Present in “Contribution Guidelines” directing contributors to format with black and ensure tests pass before contributing.
- Testing: Present with explicit command to run unit tests using `pytest tests/unit/`.
- Configuration & Environments: Present by referencing the `$SUNBEAM_EXTENSIONS` environment variable affecting where extensions live.
- Other labels (build/run, AI integration, documentation references, deployment/operations, project management, implementation details, performance, security, UI/UX, maintainability, debugging): Not evidenced by commands, procedures, or guidance in this file.","['system_overview', 'architecture', 'development_process', 'test', 'config_environment']",8
9,"- Configuration and Environments: Yes. The Setup section lists environment setup commands (npm install, bundle install).
- Testing: Yes. A dedicated Testing Instructions section prescribes testing and linting requirements and adding/updating tests.
- Documentation References: Yes. It links to Frontend and Backend Contributor Guides for further instructions.
- Implementation Details: Yes. It provides a (brief) code style directive to follow existing conventions.
- Build and Run: No. No commands to run or build the application are provided beyond dependency installation.
- Architecture: No. No high-level system structure or component organization is described.
- Development Process: No. No Git/PR workflow or review guidelines are included.
- Project Management, Deployment/Operations, Performance, Security, UI/UX, Maintainability, Debugging, AI Integration: No. These topics are not addressed in the file.","['documentation_references', 'implementation_details', 'test', 'config_environment']",8
10,"- system_overview: Yes. It states the project purpose: encoding 5e DnD rules into an API.
- ai_integration: No. No instructions or roles for AI agents.
- documentation_references: Yes. Directs readers to the readme.md for more instructions.
- architecture: Yes. Describes data flow/storage (JSON fixtures from /data/v1 and /data/v2, no persistent DB) and the v1→v2 structural conversion focus.
- implementation_details: No. No concrete coding guidelines or code-level specifics.
- build_run: Yes. Instructs to run `manage.py quicksetup` (an operational command) within pipenv to ingest data.
- test: No. Tests are mentioned, but no procedures/commands for executing tests are provided.
- config_environment: No. Mentions pipenv but gives no environment setup/config steps.
- deployment_operations: No. No CI/CD or ops guidance.
- project_management: Yes. Outlines current main and ongoing projects (v1→v2 conversion and PDF-to-v2 ingestion).
- development_process: Yes. Process guidance to run quicksetup and tests before calling a task finished.
- performance: No. No performance guidance.
- security: No. No security considerations.
- ui_ux: No. No UI/UX guidance.
- maintainability: No. No explicit maintainability guidelines.
- debugging: No. No debugging tips or error-handling instructions.","['system_overview', 'documentation_references', 'architecture', 'build_run', 'project_management', 'development_process']",7
11,"- AI Integration: Yes. The file is explicitly titled “Agent instructions” and directs an agent on behavior (run these checks before committing).
- Build and Run: Yes. It includes compile/build commands (MIX_ENV=prod mix compile, go build, npm run tsc) indicating build processes.
- Testing: Yes. It provides concrete test commands for Elixir (mix test), Go (go test), and rerun failed tests.
- Development Process: Yes. It sets a workflow rule: all listed checks must pass before committing, treating warnings as errors.
- Configuration/Environment: No. No environment setup or config guidance beyond an inline env var usage.
- Architecture: No. No high-level structure or component descriptions.
- Implementation Details: No. No coding style rules beyond running formatters; no code-level guidelines or patterns.
- Documentation References: No. No links or references to documentation; only commands for spellcheck/links.
- Deployment/Operations: No. No CI/CD or deployment steps.
- Project Management: No. No planning, backlog, or organization guidance.
- Performance: No. No optimization or performance guidance.
- Security: No. No security considerations.
- UI/UX: No. No UI/UX guidance.
- Maintainability: No. While the checks aid maintainability, there are no explicit maintainability principles or policies.
- Debugging: No. No debugging tips or error-handling instructions.","['ai_integration', 'build_run', 'test', 'development_process']",8
