id,gt_raw,gt_canonical,pred_raw,pred_canonical,exact_match,jaccard,missing,extra
1,Test;Development Process;Maintanability;Implementation Details,development_process;implementation_details;maintainability;test,"['implementation_details', 'test', 'development_process']",development_process;implementation_details;test,False,0.75,maintainability,
10,System Overview;Implementation Details;Build & Run;Project Management;Development Process,build_run;development_process;implementation_details;project_management;system_overview,"['system_overview', 'documentation_references', 'architecture', 'build_run', 'project_management', 'development_process']",architecture;build_run;development_process;documentation_references;project_management;system_overview,False,0.5714,implementation_details,architecture;documentation_references
100,System Overview;Architecture;Implementation Details;Test;Development Process,architecture;development_process;implementation_details;system_overview;test,"['system_overview', 'architecture', 'implementation_details', 'test', 'config_environment']",architecture;config_environment;implementation_details;system_overview;test,False,0.6667,development_process,config_environment
101,Architecture;Development Process;Implementation Details;Build & Run,architecture;build_run;development_process;implementation_details,"['ai_integration', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process']",ai_integration;architecture;build_run;config_environment;development_process;implementation_details;test,False,0.5714,,ai_integration;config_environment;test
102,Architecture;Build & Run;Test;Implementation Details;Development Process;Configuration & Environment,architecture;build_run;config_environment;development_process;implementation_details;test,"['architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process', 'documentation_references', 'security']",architecture;build_run;config_environment;development_process;documentation_references;implementation_details;security;test,False,0.75,,documentation_references;security
103,System Overview;Implementation Details;Test;Development Process;Documentation,development_process;documentation_references;implementation_details;system_overview;test,"['system_overview', 'ai_integration', 'documentation_references', 'implementation_details', 'build_run', 'test', 'development_process', 'maintainability']",ai_integration;build_run;development_process;documentation_references;implementation_details;maintainability;system_overview;test,False,0.625,,ai_integration;build_run;maintainability
104,System Overview;Configuration & Environment;Build & Run,build_run;config_environment;system_overview,"['ai_integration', 'build_run', 'test', 'config_environment']",ai_integration;build_run;config_environment;test,False,0.4,system_overview,ai_integration;test
105,Architecture;Build & Run;Test;Development Process;Deployment and Operations,architecture;build_run;deployment_operations;development_process;test,"['ai_integration', 'architecture', 'build_run', 'test', 'config_environment', 'deployment_operations', 'development_process']",ai_integration;architecture;build_run;config_environment;deployment_operations;development_process;test,False,0.7143,,ai_integration;config_environment
106,Claude/AI Integration;System Overview;Architecture;Implementation Details;Performance;Configuration & Environment;Test;Documentation;Debugging;Maintanability,ai_integration;architecture;config_environment;debugging;documentation_references;implementation_details;maintainability;performance;system_overview;test,"['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'performance', 'maintainability']",ai_integration;architecture;documentation_references;implementation_details;maintainability;performance;system_overview,False,0.7,config_environment;debugging;test,
107,Architecture;Implementation Details;Test;Development Process;Build & Run,architecture;build_run;development_process;implementation_details;test,"['architecture', 'implementation_details', 'build_run', 'test', 'config_environment']",architecture;build_run;config_environment;implementation_details;test,False,0.6667,development_process,config_environment
108,Architecture;Implementation Details;Development Process;Performance;Security;Debugging,architecture;debugging;development_process;implementation_details;performance;security,"['ai_integration', 'architecture', 'implementation_details', 'development_process', 'performance', 'security']",ai_integration;architecture;development_process;implementation_details;performance;security,False,0.7143,debugging,ai_integration
109,System Overview;Architecture;Configuration & Environment;Build & Run;Test;Development Process;Debugging;Documentation,architecture;build_run;config_environment;debugging;development_process;documentation_references;system_overview;test,"['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process', 'debugging']",ai_integration;architecture;build_run;config_environment;debugging;development_process;documentation_references;implementation_details;system_overview;test,False,0.8,,ai_integration;implementation_details
11,Build & Run;Test;Implementation Details;Development Process,build_run;development_process;implementation_details;test,"['ai_integration', 'build_run', 'test', 'development_process']",ai_integration;build_run;development_process;test,False,0.6,implementation_details,ai_integration
110,Build & Run;Test;Development Process;Deployment and Operations;Maintanability,build_run;deployment_operations;development_process;maintainability;test,"['build_run', 'test', 'config_environment', 'deployment_operations', 'development_process', 'maintainability']",build_run;config_environment;deployment_operations;development_process;maintainability;test,False,0.8333,,config_environment
111,Build & Run;Test;Configuration & Environment;Architecture;Implementation Details;Maintanability,architecture;build_run;config_environment;implementation_details;maintainability;test,"['architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'performance', 'maintainability', 'debugging']",architecture;build_run;config_environment;debugging;implementation_details;maintainability;performance;test,False,0.75,,debugging;performance
112,Development Process;Architecture;Test;Build & Run;Implementation Details;Documentation;Maintanability,architecture;build_run;development_process;documentation_references;implementation_details;maintainability;test,"['system_overview', 'documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'project_management', 'development_process', 'maintainability']",architecture;build_run;config_environment;development_process;documentation_references;implementation_details;maintainability;project_management;system_overview;test,False,0.7,,config_environment;project_management;system_overview
113,Build & Run;Test;Implementation Details;Development Process;Maintanability,build_run;development_process;implementation_details;maintainability;test,"['implementation_details', 'build_run', 'test', 'development_process']",build_run;development_process;implementation_details;test,False,0.8,maintainability,
114,System Overview;Architecture;Implementation Details;Claude/AI Integration;Test;Security;Development Process;Performance;UI/UX;Maintanability,ai_integration;architecture;development_process;implementation_details;maintainability;performance;security;system_overview;test;ui_ux,"['system_overview', 'ai_integration', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process', 'performance', 'security', 'ui_ux', 'maintainability']",ai_integration;architecture;build_run;config_environment;development_process;implementation_details;maintainability;performance;security;system_overview;test;ui_ux,False,0.8333,,build_run;config_environment
115,Architecture;Build & Run;Test;Documentation;Maintanability;Development Process,architecture;build_run;development_process;documentation_references;maintainability;test,"['system_overview', 'documentation_references', 'architecture', 'build_run', 'test', 'config_environment']",architecture;build_run;config_environment;documentation_references;system_overview;test,False,0.5,development_process;maintainability,config_environment;system_overview
116,Development Process;Implementation Details;Build & Run;Test;Documentation;Maintanability,build_run;development_process;documentation_references;implementation_details;maintainability;test,"['documentation_references', 'implementation_details', 'test', 'development_process', 'maintainability']",development_process;documentation_references;implementation_details;maintainability;test,False,0.8333,build_run,
117,Test;Development Process,development_process;test,"['documentation_references', 'test', 'development_process']",development_process;documentation_references;test,False,0.6667,,documentation_references
118,System Overview;Implementation Details;Development Process;Architecture,architecture;development_process;implementation_details;system_overview,"['system_overview', 'ai_integration', 'architecture', 'implementation_details', 'development_process']",ai_integration;architecture;development_process;implementation_details;system_overview,False,0.8,,ai_integration
119,Architecture;Build & Run;Test;Implementation Details;Development Process,architecture;build_run;development_process;implementation_details;test,"['architecture', 'implementation_details', 'build_run', 'test', 'development_process']",architecture;build_run;development_process;implementation_details;test,True,1.0,,
12,Configuration & Environment;Build & Run;Test;Development Process;Implementation Details;Documentation;Architecture;Deployment and Operations;Debugging,architecture;build_run;config_environment;debugging;deployment_operations;development_process;documentation_references;implementation_details;test,"['documentation_references', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'deployment_operations', 'maintainability', 'debugging']",architecture;build_run;config_environment;debugging;deployment_operations;documentation_references;implementation_details;maintainability;test,False,0.8,development_process,maintainability
120,System Overview;Implementation Details;Architecture;Development Process;Maintanability,architecture;development_process;implementation_details;maintainability;system_overview,"['system_overview', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process', 'documentation_references', 'maintainability']",architecture;build_run;config_environment;development_process;documentation_references;implementation_details;maintainability;system_overview;test,False,0.5556,,build_run;config_environment;documentation_references;test
121,System Overview;Architecture;Implementation Details;Test;Development Process;Configuration & Environment;Deployment and Operations,architecture;config_environment;deployment_operations;development_process;implementation_details;system_overview;test,"['system_overview', 'ai_integration', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'deployment_operations', 'development_process', 'security']",ai_integration;architecture;build_run;config_environment;deployment_operations;development_process;implementation_details;security;system_overview;test,False,0.7,,ai_integration;build_run;security
122,Configuration & Environment;Implementation Details;Test;Development Process;Documentation;Deployment and Operations,config_environment;deployment_operations;development_process;documentation_references;implementation_details;test,"['documentation_references', 'implementation_details', 'test', 'config_environment', 'deployment_operations', 'development_process']",config_environment;deployment_operations;development_process;documentation_references;implementation_details;test,True,1.0,,
123,Development Process;Maintanability;Deployment and Operations,deployment_operations;development_process;maintainability,"['ai_integration', 'documentation_references', 'deployment_operations', 'development_process']",ai_integration;deployment_operations;development_process;documentation_references,False,0.4,maintainability,ai_integration;documentation_references
124,Architecture;Build & Run;Test;Implementation Details;Development Process;Security,architecture;build_run;development_process;implementation_details;security;test,"['architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process', 'security']",architecture;build_run;config_environment;development_process;implementation_details;security;test,False,0.8571,,config_environment
125,Build & Run;Test;Architecture;System Overview;Implementation Details;Debugging;Development Process;Maintanability,architecture;build_run;debugging;development_process;implementation_details;maintainability;system_overview;test,"['system_overview', 'architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'development_process', 'ui_ux']",architecture;build_run;config_environment;development_process;implementation_details;system_overview;test;ui_ux,False,0.6,debugging;maintainability,config_environment;ui_ux
126,System Overview;Architecture;Documentation;Implementation Details;Test;Claude/AI Integration,ai_integration;architecture;documentation_references;implementation_details;system_overview;test,"['system_overview', 'ai_integration', 'documentation_references', 'architecture', 'implementation_details', 'test', 'performance', 'maintainability']",ai_integration;architecture;documentation_references;implementation_details;maintainability;performance;system_overview;test,False,0.75,,maintainability;performance
127,Implementation Details;Test;Development Process,development_process;implementation_details;test,"['documentation_references', 'implementation_details', 'test', 'development_process', 'performance']",development_process;documentation_references;implementation_details;performance;test,False,0.6,,documentation_references;performance
128,Build & Run;Test;Implementation Details;Debugging;Maintanability,build_run;debugging;implementation_details;maintainability;test,"['ai_integration', 'implementation_details', 'build_run']",ai_integration;build_run;implementation_details,False,0.3333,debugging;maintainability;test,ai_integration
129,Development Process;System Overview;Maintanability;Test;Configuration & Environment,config_environment;development_process;maintainability;system_overview;test,"['system_overview', 'ai_integration', 'documentation_references', 'test', 'config_environment', 'development_process']",ai_integration;config_environment;development_process;documentation_references;system_overview;test,False,0.5714,maintainability,ai_integration;documentation_references
13,Architecture;Implementation Details;Configuration & Environment;Test;Build & Run;Development Process;Deployment and Operations;Maintanability,architecture;build_run;config_environment;deployment_operations;development_process;implementation_details;maintainability;test,"['architecture', 'implementation_details', 'build_run', 'test', 'config_environment', 'deployment_operations', 'development_process', 'maintainability', 'debugging']",architecture;build_run;config_environment;debugging;deployment_operations;development_process;implementation_details;maintainability;test,False,0.8889,,debugging
130,Development Process;Implementation Details;Test;Security;Maintanability,development_process;implementation_details;maintainability;security;test,"['ai_integration', 'documentation_references', 'implementation_details', 'test', 'development_process', 'security', 'maintainability']",ai_integration;development_process;documentation_references;implementation_details;maintainability;security;test,False,0.7143,,ai_integration;documentation_references
131,,,"['ai_integration', 'documentation_references']",ai_integration;documentation_references,False,0.0,,ai_integration;documentation_references
132,Architecture;Implementation Details;Test;Development Process;Maintanability,architecture;development_process;implementation_details;maintainability;test,"['ai_integration', 'architecture', 'implementation_details', 'test', 'development_process', 'maintainability']",ai_integration;architecture;development_process;implementation_details;maintainability;test,False,0.8333,,ai_integration
133,Architecture;Implementation Details;System Overview;Documentation;Performance;Debugging;UI/UX;Test;Development Process;Maintanability,architecture;debugging;development_process;documentation_references;implementation_details;maintainability;performance;system_overview;test;ui_ux,"['architecture', 'implementation_details', 'test', 'development_process', 'performance', 'ui_ux', 'maintainability', 'debugging']",architecture;debugging;development_process;implementation_details;maintainability;performance;test;ui_ux,False,0.8,documentation_references;system_overview,
