row_number,repository_owner,repository_name,file_url,conflicts,total_labels,disagreement_percentage,amy_label_count,tem_label_count,common_label_count,only_in_amy,only_in_tem,common_labels
1,cortesi,musq,https://github.com/cortesi/musq/blob/main/AGENTS.md,6,6,100.0,3,3,0,Development Process; Documentation & References; Test,Build  & Run; Claude/AI Integration; Implementation Details,
2,Rello,analytics,https://github.com/Rello/analytics/blob/master/AGENTS.md,8,8,100.0,4,4,0,Architecture; Claude/AI Integration; Development Process; System Overview,Build  & Run; Debugging; Implementation Details; Test,
3,seasonedcc,remix-forms,https://github.com/seasonedcc/remix-forms/blob/main/AGENTS.md,7,9,77.78,7,4,2,Architecture; Build  & Run; Claude/AI Integration; Debugging; Test,Configuration & Environment; System Overview,Development Process; Implementation Details
5,mirage335-colossus,ubiquitous_bash,https://github.com/mirage335-colossus/ubiquitous_bash/blob/master/AGENTS.md,5,8,62.5,7,4,3,Architecture; Development Process; Documentation & References; Implementation Details,Build  & Run,Debugging; System Overview; Test
6,KarlTDebiec,Scinoephile,https://github.com/KarlTDebiec/Scinoephile/blob/master/AGENTS.md,7,8,87.5,5,4,1,Build  & Run; Development Process; Implementation Details; Test,Claude/AI Integration; Performance; Security,Documentation & References
7,blockscout,mcp-server,https://github.com/blockscout/mcp-server/blob/main/AGENTS.md,3,5,60.0,2,5,2,,Documentation & References; Project Management; Test,Architecture; System Overview
8,BittnerPierre,AI-Agent-Casebook,https://github.com/BittnerPierre/AI-Agent-Casebook/blob/main/AGENTS.md,5,6,83.33,4,3,1,Claude/AI Integration; Development Process; Project Management,Configuration & Environment; System Overview,Implementation Details
9,FarmBot,Farmbot-Web-App,https://github.com/FarmBot/Farmbot-Web-App/blob/main/AGENTS.md,3,6,50.0,4,5,3,Documentation & References,Configuration & Environment; Development Process,Build  & Run; Implementation Details; Test
10,open5e,open5e-api,https://github.com/open5e/open5e-api/blob/main/AGENTS.md,3,5,60.0,3,4,2,Claude/AI Integration,Test; UI/UX,Implementation Details; System Overview
11,sequinstream,sequin,https://github.com/sequinstream/sequin/blob/main/AGENTS.md,4,6,66.67,3,5,2,Build  & Run,Performance; Security; UI/UX,Implementation Details; Test
13,SwitchbackTech,compass,https://github.com/SwitchbackTech/compass/blob/main/AGENTS.md,3,6,50.0,5,4,3,Architecture; Implementation Details,Build  & Run,Configuration & Environment; Documentation & References; Test
14,tracking202,prosper202,https://github.com/tracking202/prosper202/blob/master/AGENTS.md,4,8,50.0,8,4,4,Claude/AI Integration; Development Process; Documentation & References; Maintanability,,Architecture; Implementation Details; System Overview; Test
15,LocalSymmetry,lofn,https://github.com/LocalSymmetry/lofn/blob/main/AGENTS.md,6,7,85.71,5,3,1,Architecture; Build  & Run; Deployment and Operations; System Overview,Implementation Details; Test,Configuration & Environment
16,Pirate-Weather,pirate-weather-code,https://github.com/Pirate-Weather/pirate-weather-code/blob/main/AGENTS.md,8,8,100.0,3,5,0,Implementation Details; Maintanability; Test,Configuration & Environment; Debugging; Development Process; Documentation & References; Security,
17,samuelstevens,biobench,https://github.com/samuelstevens/biobench/blob/main/AGENTS.md,7,8,87.5,5,4,1,Architecture; Debugging; Development Process; Test,Build  & Run; Claude/AI Integration; Configuration & Environment,Implementation Details
18,Pedal-Intelligence,saypi-userscript,https://github.com/Pedal-Intelligence/saypi-userscript/blob/main/CLAUDE.md,7,9,77.78,6,5,2,Architecture; Claude/AI Integration; System Overview; Test,Deployment and Operations; Development Process; Implementation Details,Build  & Run; Configuration & Environment
20,windmill-labs,windmill,https://github.com/windmill-labs/windmill/blob/main/CLAUDE.md,3,5,60.0,3,4,2,Documentation & References,Build  & Run; Test,Implementation Details; System Overview
21,sapientpants,sonarqube-mcp-server,https://github.com/sapientpants/sonarqube-mcp-server/blob/main/CLAUDE.md,4,7,57.14,6,4,3,Claude/AI Integration; Implementation Details; Performance,Test,Architecture; Configuration & Environment; System Overview
22,slick,slick,https://github.com/slick/slick/blob/main/CLAUDE.md,7,9,77.78,9,2,2,Architecture; Claude/AI Integration; Configuration & Environment; Debugging; Development Process; Implementation Details; System Overview,,Build  & Run; Test
25,amittell,firewalla-mcp-server,https://github.com/amittell/firewalla-mcp-server/blob/main/CLAUDE.md,8,12,66.67,12,4,4,Architecture; Claude/AI Integration; Configuration & Environment; Development Process; Documentation & References; Performance; Project Management; System Overview,,Build  & Run; Debugging; Implementation Details; Test
26,meilisearch,meilisearch-mcp,https://github.com/meilisearch/meilisearch-mcp/blob/main/CLAUDE.md,4,7,57.14,6,4,3,Build  & Run; Configuration & Environment; Development Process,Implementation Details,Architecture; System Overview; Test
27,spylang,spy,https://github.com/spylang/spy/blob/main/CLAUDE.md,4,7,57.14,5,5,3,Claude/AI Integration; Implementation Details,Architecture; System Overview,Build  & Run; Development Process; Test
28,masc-ucsc,hagent,https://github.com/masc-ucsc/hagent/blob/main/CLAUDE.md,3,6,50.0,5,4,3,Architecture; Build  & Run,Development Process,Configuration & Environment; Implementation Details; Test
29,ComposioHQ,composio,https://github.com/ComposioHQ/composio/blob/master/CLAUDE.md,10,11,90.91,9,3,1,Architecture; Build  & Run; Configuration & Environment; Documentation & References; Implementation Details; Maintanability; System Overview; Test,Debugging; Performance,Development Process
30,gensx-inc,gensx,https://github.com/gensx-inc/gensx/blob/main/CLAUDE.md,6,8,75.0,7,3,2,Architecture; Build  & Run; Configuration & Environment; Development Process; Test,Documentation & References,Implementation Details; System Overview
31,PostHog,posthog,https://github.com/PostHog/posthog/blob/master/CLAUDE.md,6,6,100.0,1,5,0,Documentation & References,Architecture; Build  & Run; Configuration & Environment; Deployment and Operations; System Overview,
33,Sylius,Sylius,https://github.com/Sylius/Sylius/blob/master/CLAUDE.md,3,3,100.0,1,2,0,Documentation & References,Configuration & Environment; Implementation Details,
34,docdyhr,mcp-wordpress,https://github.com/docdyhr/mcp-wordpress/blob/main/CLAUDE.md,9,11,81.82,8,5,2,Build  & Run; Configuration & Environment; Deployment and Operations; Development Process; System Overview; Test,Claude/AI Integration; Debugging; Documentation & References,Architecture; Security
35,BeehiveInnovations,zen-mcp-server,https://github.com/BeehiveInnovations/zen-mcp-server/blob/main/CLAUDE.md,6,7,85.71,6,2,1,Architecture; Configuration & Environment; Debugging; Development Process; Test,Implementation Details,Build  & Run
36,berachain,beacon-kit,https://github.com/berachain/beacon-kit/blob/main/CLAUDE.md,6,8,75.0,7,3,2,Architecture; Build  & Run; Development Process; Implementation Details; Test,Claude/AI Integration,Configuration & Environment; System Overview
37,vespa-engine,pyvespa,https://github.com/vespa-engine/pyvespa/blob/master/.github/copilot-instructions.md,8,11,72.73,8,6,3,Architecture; Build  & Run; Debugging; System Overview; Test,Claude/AI Integration; Project Management; Security,Configuration & Environment; Documentation & References; Implementation Details
38,dynamoose,dynamoose,https://github.com/dynamoose/dynamoose/blob/main/.github/copilot-instructions.md,7,9,77.78,5,6,2,Architecture; Development Process; System Overview,Claude/AI Integration; Documentation & References; Performance; Security,Build  & Run; Implementation Details
39,gofiber,fiber,https://github.com/gofiber/fiber/blob/main/.github/copilot-instructions.md,9,9,100.0,3,6,0,Documentation & References; Implementation Details; Maintanability,Build  & Run; Claude/AI Integration; Configuration & Environment; Deployment and Operations; System Overview; Test,
41,dsccommunity,SqlServerDsc,https://github.com/dsccommunity/SqlServerDsc/blob/main/.github/copilot-instructions.md,4,4,100.0,2,2,0,Documentation & References; Implementation Details,Claude/AI Integration; Project Management,
42,ydb-platform,ydb-embedded-ui,https://github.com/ydb-platform/ydb-embedded-ui/blob/main/.github/copilot-instructions.md,8,12,66.67,10,6,4,Architecture; Build  & Run; Configuration & Environment; Debugging; Security; System Overview,Deployment and Operations; Test,Claude/AI Integration; Development Process; Implementation Details; Performance
43,Agoric,agoric-sdk,https://github.com/Agoric/agoric-sdk/blob/master/.github/copilot-instructions.md,1,4,25.0,4,3,3,Implementation Details,,Build  & Run; Debugging; Test
44,Azure,adx-mon,https://github.com/Azure/adx-mon/blob/main/.github/copilot-instructions.md,8,11,72.73,8,6,3,Architecture; Build  & Run; Debugging; Performance; System Overview,Claude/AI Integration; Project Management; Security,Documentation & References; Implementation Details; Test
45,Azure,azure-rest-api-specs,https://github.com/Azure/azure-rest-api-specs/blob/main/.github/copilot-instructions.md,8,9,88.89,4,6,1,Claude/AI Integration; Development Process; Project Management,Architecture; Configuration & Environment; Debugging; System Overview; Test,Implementation Details
46,zwave-js,zwave-js,https://github.com/zwave-js/zwave-js/blob/master/.github/copilot-instructions.md,4,8,50.0,6,6,4,Build  & Run; Development Process,Configuration & Environment; Security,Architecture; Implementation Details; System Overview; Test
