#,repository_owner,repository_name,source_dataset,stargazers_count,file_url,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15
1,cortesi,musq,agents,7,https://github.com/cortesi/musq/blob/main/AGENTS.md,Test,Development Process,Maintanability,Implementation Details,,,,,,,,,,,
2,Rello,analytics,agents,136,https://github.com/Rello/analytics/blob/master/AGENTS.md,Architecture,Claude/AI Integration,Development Process,Documentation,,,,,,,,,,,
3,seasonedcc,remix-forms,agents,515,https://github.com/seasonedcc/remix-forms/blob/main/AGENTS.md,Build & Run,Configuration & Environment,Implementation Details,Test,Architecture,Development Process,Debugging,Maintanability,Documentation,,,,,,
4,aavetis,PRarena,copilot-instructions,1652,https://github.com/aavetis/PRarena/blob/main/.github/copilot-instructions.md,Configuration & Environment,Build & Run,,,,,,,,,,,,,
5,mirage335-colossus,ubiquitous_bash,agents,6603,https://github.com/mirage335-colossus/ubiquitous_bash/blob/master/AGENTS.md,System Overview,Architecture,Implementation Details,Debugging,Test,Development Process,Documentation,Build & Run,,,,,,,
6,KarlTDebiec,Scinoephile,agents,32,https://github.com/KarlTDebiec/Scinoephile/blob/master/AGENTS.md,Build & Run,Test,Implementation Details,Development Process,Documentation,Claude/AI Integration,Configuration & Environment,,,,,,,,
7,blockscout,mcp-server,agents,6,https://github.com/blockscout/mcp-server/blob/main/AGENTS.md,Architecture,System Overview,,,,,,,,,,,,,
8,sunbeam-labs,sunbeam,agents,174,https://github.com/sunbeam-labs/sunbeam/blob/main/AGENTS.md,System Overview,Architecture,Development Process,Test,Configuration & Environment,,,,,,,,,,
9,FarmBot,Farmbot-Web-App,agents,12,https://github.com/FarmBot/Farmbot-Web-App/blob/main/AGENTS.md,Configuration & Environment,Implementation Details,Test,,,,,,,,,,,,
10,open5e,open5e-api,agents,953,https://github.com/open5e/open5e-api/blob/main/AGENTS.md,System Overview,Implementation Details,Build & Run,Project Management,Development Process,,,,,,,,,,
11,sequinstream,sequin,agents,173,https://github.com/sequinstream/sequin/blob/main/AGENTS.md,Build & Run,Test,Implementation Details,Development Process,,,,,,,,,,,
12,netz98,n98-magerun2,copilot-instructions,11422,https://github.com/netz98/n98-magerun2/blob/master/.github/copilot-instructions.md,Configuration & Environment,Build & Run,Test,Development Process,Implementation Details,Documentation,Architecture,Deployment and Operations,Debugging,,,,,,
13,SwitchbackTech,compass,agents,1693,https://github.com/SwitchbackTech/compass/blob/main/AGENTS.md,Architecture,Implementation Details,Configuration & Environment,Test,Build & Run,Development Process,Deployment and Operations,Maintanability,,,,,,,
14,tracking202,prosper202,agents,386,https://github.com/tracking202/prosper202/blob/master/AGENTS.md,System Overview,Architecture,Implementation Details,Test,Documentation,Development Process,Maintanability,Claude/AI Integration,Project Management,,,,,,
15,LocalSymmetry,lofn,agents,198,https://github.com/LocalSymmetry/lofn/blob/main/AGENTS.md,System Overview,Architecture,Configuration & Environment,Deployment and Operations,Build & Run,,,,,,,,,,
16,Pirate-Weather,pirate-weather-code,agents,11,https://github.com/Pirate-Weather/pirate-weather-code/blob/main/AGENTS.md,Maintanability,Implementation Details,Test,,,,,,,,,,,,
17,samuelstevens,biobench,agents,13,https://github.com/samuelstevens/biobench/blob/main/AGENTS.md,Implementation Details,Debugging,Test,Architecture,Development Process,Maintanability,,,,,,,,,
18,Pedal-Intelligence,saypi-userscript,agents,36,https://github.com/Pedal-Intelligence/saypi-userscript/blob/main/CLAUDE.md,Build & Run,Test,Configuration & Environment,Architecture,System Overview,Claude/AI Integration,,,,,,,,,
